Designator,Mid X,Mid Y,Layer,Rotation
BATT,28.45, 0.00,Top,270.0
C1,10.64,-4.06,Top,270.0
C2,19.56,-3.43,Top,270.0
CHRG, 0.69,-5.99,Top,270.0
IC2,15.62,-3.43,Top,90.0
J4, 0.00, 0.00,Top,270.0
R1, 9.88, 2.16,Top,90.0
R2, 1.80, 5.97,Top,270.0
R3, 1.80,-5.99,Top,90.0
R4, 8.66,-6.99,Top,270.0
R5, 7.62,-6.99,Top,270.0
R6,22.61, 6.22,Top,270.0
R7,21.59, 6.22,Top,270.0
R8,20.57, 6.22,Top,270.0
R9,19.56, 6.22,Top,270.0
RPROG,17.14, 7.11,Top,270.0
STDBY, 0.66, 5.97,Top,90.0
JP1,26.67, 3.30,Bottom,270.0
JP2,26.67, 1.52,Bottom,270.0
JP3,26.67,-0.13,Bottom,270.0
JP4,26.67,-1.78,Bottom,270.0
JP5,26.67,-3.43,Bottom,270.0
